State Name,Initial Walk Distance in miles: < 0.10,"Initial Walk Distance in miles: 0.10 - 
0.25",Initial Walk Distance in miles: 0.25 - 0.50,Initial Walk Distance in miles: 0.50 - 1.00,Initial Walk Distance in miles: > 1.00,Initial Walk Distance in miles: No Access,Initial Walk Duration in minutes: < 5,Initial Walk Duration in minutes: 5 - 10,Initial Walk Duration in minutes: 10 - 15,Initial Walk Duration in minutes: 15 - 30,Initial Walk Duration in minutes: > 30,Initial Walk Duration in minutes: No Access,Total Walk Distance in miles: < 0.10,"Total Walk Distance in miles: 0.10 - 
0.25",Total Walk Distance in miles: 0.25 - 0.50,Total Walk Distance in miles: 0.50 - 1.00,Total Walk Distance in miles: > 1.00,Total Walk Distance in miles: No Access,Total Walk Duration in minutes: < 5,Total Walk Duration in minutes: 5 - 10,Total Walk Duration in minutes: 10 - 15,Total Walk Duration in minutes: 15 - 30,Total Walk Duration in minutes: > 30,Total Walk Duration in minutes: No Access,Initial Wait Time in minutes: < 5,Initial Wait Time in minutes: 5 - 10,Initial Wait Time in minutes: 10 - 15,Initial Wait Time in minutes: 15 - 30,"Initial Wait Time in minutes: > 30
< 60",Initial Wait Time in minutes: No Access,Travel Duration in minutes: < 15,Travel Duration in minutes: 15 - 30,Travel Duration in minutes: 30 - 45,Travel Duration in minutes: 45 - 60,Travel Duration in minutes: > 60,Travel Duration in minutes: No Access,In-Vehicle Duration in minutes: < 15,In-Vehicle Duration in minutes: 15 - 30,In-Vehicle Duration in minutes: 30 - 45,In-Vehicle Duration in minutes: 45 - 60,In-Vehicle Duration in minutes: > 60,In-Vehicle Duration in minutes: No Access,Out-of-Vehicle Duration in minutes: < 15,Out-of-Vehicle Duration in minutes: 15 - 30,Out-of-Vehicle Duration in minutes: 30 - 45,Out-of-Vehicle Duration in minutes: 45 - 60,Out-of-Vehicle Duration in minutes: > 60,Out-of-Vehicle Duration in minutes: No Access,Total Wait Duration in minutes: < 5,Total Wait Duration in minutes: 5 - 10,Total Wait Duration in minutes: 10 - 15,Total Wait Duration in minutes: 15 - 30,Total Wait Duration in minutes: > 30,Total Wait Duration in minutes: No Access,Transfers: < 1,Transfers: 1 - 2,Transfers: 2 - 3,Transfers: 3 - 4,Transfers: > 4,Transfers: No Access,Transit:Driving: < 2,Transit:Driving: 2 - 4,Transit:Driving: 4 - 6,Transit:Driving: 6 - 8,Transit:Driving: > 8,Transit:Driving: No Access,In-Vehicle:Out-of-Vehicle: < 1,In-Vehicle:Out-of-Vehicle: 1 - 2,In-Vehicle:Out-of-Vehicle: 2 - 3,In-Vehicle:Out-of-Vehicle: 3 - 4,In-Vehicle:Out-of-Vehicle: > 4,In-Vehicle:Out-of-Vehicle: No Access
Alabama,0.614154806,1.101579255,1.413530903,0.19496978,1.433027881,95.24273738,0.740885163,1.559758237,1.082082277,0.643400273,0.731136674,95.24273738,0.087736401,0.692142718,1.930200819,0,2.047182687,95.24273738,0.916357965,2.164164554,0.47767596,0.048742445,1.1503217,95.24273738,0.442303912,0.953410655,1.651267938,0.501277767,0.42264596,96.02909377,0.058490934,0.370442581,0.740885163,0,3.587443946,95.24273738,1.34529148,1.218561123,0.682394229,0.887112498,0.623903295,95.24273738,0.692142718,0.877364009,0.77013063,0.038993956,2.378631312,95.24273738,0.350945603,1.004094365,0.487424449,0.19496978,2.719828427,95.24273738,1.793721973,2.476116202,0.467927471,0.019496978,0,95.24273738,0.019496978,0.204718269,0.750633652,0,3.782413726,95.24273738,0.779879119,0.068239423,0.029245467,3.879898616,0,95.24273738
Alaska,6.448026681,8.171206226,7.670928293,2.779321845,3.835464147,71.09505281,5.725403002,5.280711506,8.171206226,8.060033352,1.667593107,71.09505281,1.834352418,7.72651473,13.00722624,0.333518621,6.003335186,71.09505281,7.170650361,10.72818232,5.892162312,1.61200667,3.501945525,71.09505281,3.676048248,9.821941413,2.986789202,4.652498564,5.399195864,73.46352671,3.613118399,3.724291273,8.44913841,0.72262368,12.39577543,71.09505281,8.44913841,8.282379099,0.333518621,10.00555864,1.834352418,71.09505281,7.782101167,9.949972207,1.723179544,3.501945525,5.947748749,71.09505281,3.335186215,10.22790439,3.891050584,4.6692607,6.781545303,71.09505281,22.45692051,6.336853808,0.111172874,0,0,71.09505281,2.001111729,6.725958866,5.614230128,0,14.56364647,71.09505281,5.947748749,0.667037243,0.166759311,22.06781545,0.055586437,71.09505281
Arizona,8.644501279,15.90792839,15.47314578,1.815856777,9.309462916,48.84910486,10.0511509,12.89002558,15.06393862,8.593350384,4.552429668,48.84910486,0.460358056,4.859335038,21.66240409,0.025575448,24.14322251,48.84910486,8.746803069,25.29411765,3.043478261,0.383631714,13.68286445,48.84910486,7.962328767,15.1826484,4.223744292,8.847031963,9.275114155,54.50913242,0.664961637,4.015345269,5.166240409,0.025575448,41.27877238,48.84910486,11.27877238,10.66496164,10.12787724,8.439897698,10.63938619,48.84910486,6.163682864,14.55242967,12.40409207,0.511508951,17.51918159,48.84910486,4.859335038,16.24040921,4.296675192,2.864450128,22.89002558,48.84910486,18.33759591,22.60869565,8.772378517,1.432225064,0,48.84910486,0.664961637,6.879795396,15.16624041,0,28.4398977,48.84910486,13.09462916,1.099744246,0.153452685,36.80306905,0,48.84910486
Arkansas,0.691305504,0.90401489,1.054684038,0.16839493,0.948329345,96.23327129,0.638128157,1.161038731,0.841974652,0.717894177,0.407692989,96.23327129,0.301338297,0.841974652,1.196490295,0.008862891,1.418062572,96.23327129,0.74448285,1.196490295,0.797660197,0.221572277,0.806523088,96.23327129,0.435981849,0.92534923,1.112198594,0.364801139,0.551650503,96.61001868,0.132943366,0.629265266,0.664716831,0.017725782,2.322077462,96.23327129,0.895151999,0.948329345,0.194983604,1.391473899,0.336789861,96.23327129,0.673579722,0.646991048,1.214216077,0.088628911,1.143312949,96.23327129,0.425418772,1.07240982,0.257023841,0.230435168,1.781441106,96.23327129,1.506691483,1.843481344,0.416555881,0,0,96.23327129,0.044314455,0.106354693,0.354515643,0,3.261543916,96.23327129,0.301338297,0.035451564,0.008862891,3.412213064,0.008862891,96.23327129
California,12.55331089,18.6026936,20.57800224,3.911335578,13.7654321,30.58922559,12.08193042,19.36026936,17.96296296,13.9674523,6.038159371,30.58922559,2.777777778,11.87991021,24.39955107,0.252525253,30.1010101,30.58922559,11.7620651,26.83501684,9.893378227,1.975308642,18.94500561,30.58922559,9.725717162,16.29969804,9.612481127,13.55686965,16.51358832,34.2916457,6.689113356,11.28507295,12.4691358,0.533108866,38.43434343,30.58922559,23.0359147,10.5667789,5.662177329,25.45454545,4.691358025,30.58922559,16.5375982,16.31874299,9.971941639,3.872053872,22.71043771,30.58922559,8.338945006,16.62738496,9.562289562,9.500561167,25.38159371,30.58922559,39.42199776,23.06397306,5.145903479,1.200897868,0.578002245,30.58922559,1.84624018,7.918069585,13.40628507,0.005611672,46.2345679,30.58922559,8.372615039,0.993265993,0.303030303,59.59034792,0.151515152,30.58922559
Colorado,4.437198752,5.316132691,6.818826198,1.885455061,7.428409413,74.11397788,3.742557414,8.392401474,5.330309045,5.528777998,2.891976184,74.11397788,1.814573292,3.459030337,6.875531613,0.283527077,13.4533598,74.11397788,3.629146583,8.44910689,2.948681599,1.545222569,9.313864474,74.11397788,2.200689768,3.596649696,2.167843652,3.169650189,3.005419609,85.85974708,1.630280692,1.204990077,2.225687553,0.7371704,20.08789339,74.11397788,2.154805784,3.076268784,3.841791891,4.380493337,12.43266232,74.11397788,2.594272753,2.183158492,1.715338815,1.984689538,17.40856252,74.11397788,1.488517153,2.778565353,2.069747661,1.644457046,17.9047349,74.11397788,8.278990644,7.357527644,9.710802382,0.453643323,0.085058123,74.11397788,2.636801815,3.388148568,2.282392969,0.014176354,17.56450241,74.11397788,2.339098384,0.935639354,0.396937908,22.17181741,0.042529062,74.11397788
Connecticut,12.44444444,13.18518519,16,7.061728395,15.65432099,35.65432099,8.345679012,17.62962963,12.83950617,17.87654321,7.654320988,35.65432099,2.074074074,10.41975309,24.39506173,0.296296296,27.16049383,35.65432099,11.0617284,26.96296296,8.543209877,1.530864198,16.24691358,35.65432099,8.431703204,14.95222035,14.55874087,9.668353007,11.80438449,40.58459809,2.666666667,5.87654321,8.592592593,0.197530864,47.01234568,35.65432099,14.71604938,12.2962963,12.09876543,10.81481481,14.41975309,35.65432099,13.48148148,11.16049383,7.901234568,1.827160494,29.97530864,35.65432099,6.913580247,13.08641975,6.666666667,5.234567901,32.44444444,35.65432099,27.7037037,20.9382716,12.69135802,2.716049383,0.296296296,35.65432099,1.679012346,12.83950617,13.33333333,0,36.49382716,35.65432099,13.08641975,1.827160494,0.444444444,48.83950617,0.148148148,35.65432099
Delaware,12.80148423,17.2541744,17.99628942,4.823747681,18.92393321,28.20037106,11.68831169,19.66604824,17.06864564,14.6567718,8.719851577,28.20037106,5.565862709,15.02782931,21.33580705,1.298701299,28.57142857,28.20037106,12.61595547,24.30426716,14.10018553,4.638218924,16.14100186,28.20037106,8.921161826,24.06639004,10.99585062,11.2033195,13.2780083,31.53526971,7.421150278,6.307977737,11.68831169,1.113172542,45.2690167,28.20037106,23.37662338,19.10946197,7.050092764,16.14100186,6.12244898,28.20037106,15.21335807,13.3580705,13.3580705,6.864564007,23.00556586,28.20037106,6.493506494,19.29499072,8.348794063,10.01855288,27.64378479,28.20037106,46.93877551,16.32653061,8.163265306,0.185528757,0.185528757,28.20037106,12.24489796,15.9554731,13.3580705,0.185528757,30.05565863,28.20037106,12.61595547,2.226345083,1.484230056,55.47309833,0,28.20037106
Florida,6.208626577,9.74148143,13.13497317,1.665389171,12.06187722,57.18765243,7.37230855,13.65061668,9.14918821,6.65458853,5.9856456,57.18765243,1.114904885,5.644205979,12.77262909,0.006968156,23.27363947,57.18765243,6.194690265,15.07908857,4.376001672,0.710751864,16.4518152,57.18765243,5.232092108,11.20017489,9.990526853,6.689499381,7.082999344,59.80470743,0.884955752,2.327363947,4.34812905,0.048777089,35.20312173,57.18765243,8.940143544,9.21190161,8.02731517,4.87770887,11.75527838,57.18765243,5.463033935,8.689289945,8.347850324,1.212459062,19.09971431,57.18765243,4.02062574,11.45564769,4.062434674,3.546791164,19.7268483,57.18765243,18.49348477,16.93261794,6.619747753,0.515643509,0.250853599,57.18765243,1.456344506,7.198104662,10.22228416,0,23.93561424,57.18765243,9.957494251,1.985924326,0.515643509,29.78886489,0.564420598,57.18765243
Georgia,1.162365373,1.520016257,2.158097948,0.357650884,2.426336111,92.37553343,1.219264377,2.292217029,1.410282463,1.300548669,1.402154034,92.37553343,0.186953871,1.198943304,2.304409673,0,3.934159724,92.37553343,1.259906523,2.714895346,0.816907133,0.093476936,2.739280634,92.37553343,1.11006431,2.068570024,1.253430549,1.11006431,1.355835006,93.1020358,0.268238163,0.520219468,0.906319854,0.012192644,5.917496444,92.37553343,2.121520016,2.198740093,1.081081081,1.068888437,1.154236944,92.37553343,1.032310506,1.897988214,1.467181467,0.182889657,3.044096728,92.37553343,0.751879699,2.552326763,0.556797399,0.520219468,3.243243243,92.37553343,2.901849218,3.121316806,1.129851656,0.304816094,0.166632798,92.37553343,0.577118472,1.767933347,1.48750254,0.004064215,3.787847998,92.37553343,1.475309896,0.166632798,0.024385288,5.950010161,0.008128429,92.37553343
Hawaii,22.80701754,23.07692308,20.91767881,8.367071525,18.08367072,6.747638327,13.63022942,21.05263158,23.07692308,27.26045884,8.232118758,6.747638327,8.636977058,28.20512821,30.90418354,0,25.50607287,6.747638327,21.05263158,26.58569501,25.23616734,5.668016194,14.70985155,6.747638327,11.75637394,23.51274788,22.80453258,14.87252125,19.97167139,7.082152975,7.01754386,9.446693657,18.89338731,0.134952767,57.75978408,6.747638327,21.05263158,23.61673414,15.92442645,19.16329285,13.49527665,6.747638327,24.69635628,21.99730094,11.20107962,9.986504723,25.37112011,6.747638327,11.20107962,18.75843455,11.74089069,16.59919028,34.95276653,6.747638327,55.19568151,32.11875843,5.937921727,0,0,6.747638327,18.62348178,26.31578947,13.90013495,0.134952767,34.2780027,6.747638327,27.26045884,8.906882591,1.889338731,53.71120108,1.484480432,6.747638327
Idaho,3.033046627,4.692922891,5.19088577,0.754489211,4.753282028,81.57537347,3.455560585,5.055077712,4.300588502,3.229213822,2.384185906,81.57537347,0.769578995,2.157839143,4.90417987,0.060359137,10.53266938,81.57537347,2.11256979,7.318545345,1.93149238,0.5734118,6.488607213,81.57537347,1.577689243,3.80876494,4.09561753,1.944223108,2.422310757,86.15139442,0.845027916,1.82586389,1.358080579,0.045269353,14.35038479,81.57537347,7.333635129,3.787535838,1.086464464,4.753282028,1.463709069,81.57537347,2.776520296,2.821789648,1.780594537,0.558322016,10.48740003,81.57537347,1.071374679,3.093405764,1.448619285,1.508978422,11.30224838,81.57537347,10.68356722,7.22800664,0.513052663,0,0,81.57537347,0.120718274,0.950656406,2.746340727,0,14.60691112,81.57537347,1.403349932,0.10562849,0.045269353,16.77984005,0.090538705,81.57537347
Illinois,12.86681716,16.79458239,20.22573363,4.514672686,19.35289691,26.24529722,11.37697517,22.82919488,15.81640331,14.83822423,8.893905192,26.24529722,4.288939052,13.39352897,22.36267871,0.270880361,33.4386757,26.24529722,12.03912716,25.26711813,10.71482318,3.31075997,22.42287434,26.24529722,10.0477126,7.690148751,3.424080831,13.05079989,16.83974179,48.94751614,2.87434161,5.778781038,6.892400301,0.300978179,57.90820166,26.24529722,21.06847254,20.34612491,11.04589917,9.977426637,11.31677953,26.24529722,11.82844244,5.522949586,2.227238525,3.521444695,50.65462754,26.24529722,5.237020316,6.561324304,5.056433409,5.387509406,51.51241535,26.24529722,30.29345372,27.5696012,12.05417607,3.566591422,0.270880361,26.24529722,14.32656132,6.531226486,1.339352897,0.300978179,51.2565839,26.24529722,9.872084274,1.640331076,0.391271633,61.67042889,0.180586907,26.24529722
Indiana,2.246397287,2.719694829,3.708674767,0.81944052,3.546199491,86.95959311,2.126306866,3.878214185,2.613732693,2.719694829,1.702458322,86.95959311,0.713478384,2.133371009,4.160779881,0.070641424,5.962136197,86.95959311,2.239333145,4.71178299,1.709522464,0.565131393,3.814636903,86.95959311,1.540241521,3.579434522,1.858413479,1.800564032,2.20551016,89.01583629,0.854761232,1.801356315,1.575303758,0.169539418,8.639446171,86.95959311,4.083074315,2.0486013,1.631816897,2.769143826,2.507770557,86.95959311,2.60666855,2.769143826,2.175755863,0.558067251,4.930771404,86.95959311,1.412828483,3.645097485,1.271545634,1.193840068,5.517095225,86.95959311,7.311387398,3.814636903,1.243289065,0.551003108,0.120090421,86.95959311,0.38146369,1.794292173,2.140435151,0.098897994,8.625317886,86.95959311,2.232269003,0.346142978,0.098897994,10.30658378,0.056513139,86.95959311
Iowa,2.598536225,2.585107097,2.128516753,1.195192372,1.309339958,90.18330759,1.32948365,1.900221581,2.551534278,3.404283892,0.631169006,90.18330759,1.074330222,2.961122675,3.236419795,0.026858256,2.517961458,90.18330759,2.05465655,2.880547908,2.6589673,0.752031156,1.470489492,90.18330759,1.428279943,2.190029246,1.611915936,1.57790927,1.84316126,91.34870435,1.752501175,1.893507017,1.530920567,0.060431075,4.579332572,90.18330759,3.316994561,1.396629289,0.644598133,4.1093131,0.349157322,90.18330759,2.833545961,1.833075942,1.410058417,1.154904989,2.585107097,90.18330759,1.168334117,2.45081582,1.416772981,1.336198214,3.444571275,90.18330759,5.505942389,3.209561539,0.778889411,0.181293225,0.141005842,90.18330759,0.342442758,1.530920567,1.698784664,0,6.244544417,90.18330759,1.269052575,0.114147586,0.040287383,8.366346606,0.026858256,90.18330759
Kansas,1.08990109,2.00970201,1.978201978,0.283500284,1.266301266,93.37239337,1.323001323,1.707301707,1.833301833,1.184401184,0.57960058,93.37239337,0.264600265,1.285201285,2.784602785,0.031500032,2.261702262,93.37239337,1.606501607,2.57040257,0.97020097,0.201600202,1.278901279,93.37239337,0.679926288,1.734765203,1.785600813,0.762534155,0.857850925,94.17932262,0.308700309,0.585900586,2.085302085,0.012600013,3.635103635,93.37239337,2.17980218,1.197001197,0.674100674,2.192402192,0.384300384,93.37239337,1.203301203,1.795501796,1.26000126,0.270900271,2.097902098,93.37239337,0.642600643,1.801801802,0.674100674,0.636300636,2.872802873,93.37239337,4.208404208,1.827001827,0.573300573,0.018900019,0,93.37239337,0.081900082,0.516600517,1.171801172,0,4.857304857,93.37239337,0.541800542,0.176400176,0.018900019,5.884205884,0.006300006,93.37239337
